date_created,date_modified,artist,title,genre,rating,file
20250705,20250705,mary in the junkyard,goop,"Emo, Post-Rock",4,
20250624,20250624,BRUIT ≤,The Age of Ephemerality,"Post-Rock, Modern Classical",4.5,bruit_the_age_of_ephemerality
20250606,20250606,blgtz,Blueprint for Unmanned TV,"Emo, Post-Rock",4,
20250508,20250508,Tapir!,Gymnopédie,Indie Folk,4,tapir_gymnopedie
20250410,20250410,Richard Dawson,The Hermit,Progressive Folk,4.5,
20250328,20250328,Hesse Kassel,La Brea,"Post-Rock, Art Rock",4.5,
20250131,20250131,Natural Snow Buildings,Daughter of Darkness,"Drone, Folk",4.5,
20250116,20250116,Steve Reich,Music for 18 Musicians,"Minimalism",4.5,
20241218,20241218,Geordie Greep,The New Sound,"Jazz Rock",5,
20241206,20241206,Tokyo Incidents,Adult,"Jazz Rock",4,
20241121,20241121,屋根裏獣 (Kayoko Yoshizawa),屋根裏獣 (Attic Beast),"Jazz Pop, Art Pop",4.5,kayoko_yoshizawa_attic_beast
20241106,20241106,Ramper,Solo Postres,"Post-Rock",4.5,
20241011,20241011,MJ Lenderman,MJ Lenderman,"Alt-Country, Slacker Rock",4.5,
20240927,20240927,sadness,i want to make something as beautiful as you,"Shoegaze, Post-Rock",4,
20240912,20240912,Maruja,The Vault,"Post-Rock, Jazz-Rock",4.5,
20240827,20240827,Diles que no me maten,Live on KEXP,"Art Rock, Post-Rock",4.5,
20240815,20240815,Boris,Boris at Last -Feedbacker-,"Drone Metal",4.5,boris_feedbacker
20240730,20240730,Mabe Fratti,Sentir que no sabes,"Art Pop",4,
20240716,20240716,A Silver Mt. Zion,He Has Left Us Alone but Shafts of Light Sometimes Grace the Corner of Our Rooms...,"Post-Rock, Modern Classical",4,a_silver_mt_zion_he_has_left_us_alone
20240702,20240702,TwinSisterMoon,When Stars Glide Through Solid,"Ambient, Drone, Folk",4.5,
20240605,20240605,37500 Yens,Astero,"Math Rock",4.5,
20240521,20240521,Lamp,恋人へ (For Lovers),"Jazz Pop, Bossa Nova",4.5,lamp_for_lovers
20240508,20240508,Kamasi Washington,Fearless Movement,"Spiritual Jazz, Jazz Fusion",4,
20240422,20240422,ミドリ (Midori),"あらためまして、はじめまして、ミドリです。(Once Again, Nice to Meet You, Midori)","Jazz-Punk",4.5,midori_aratamemashite
20240326,20240326,Boris,Flood,"Post-Rock, Drone",5,
20240311,20240311,Tapir!,"The Pilgrim, Their God, and the King of my Decrepit Mountain","Indie Folk",4,tapir_the_pilgrim
20240229,20240229,Depressive Silence,Depressive Silence [II],"Dungeon Synth",4,depressive_silence_depressive_silence_ii
20240227,20240227,Slint,Spiderland,"Post-Rock, Math Rock",4.5,
20240131,20240131,Ciśnienie,Zwierzakom,"Post-Rock, Experimental Jazz-Rock",4.5,cisnienie_zwierzakom